CustomerID,CustomerName,Email,OrderID,OrderDate,ProductName,Category,Quantity,UnitPrice,TotalPrice,TransactionType
3847,Hannah,hannah1@gmail.com,47834,2021-01-31,Keyboard,Tech,6,325.67,1954,sales
3847,George,george2@gmail.com,47834,2024-02-21,Monitor,Tech,3,601.56,1804.7,sales
2425,Bob,bob3@gmail.com,24992,2023-05-17,Phone,Tech,7,826.8,5787.6,sales
1168,George,george4@gmail.com,26443,2024-12-28,Headphones,Tech,1,1256.32,1256.3,sales
4482,George,george5@gmail.com,22969,2024-10-27,Printer,Tech,5,169.11,845.6,sales
1984,Fiona,fiona6@gmail.com,49614,2024-10-05,Headphones,Tech,2,1127.3,2254.6,sales
1357,Fiona,fiona7@gmail.com,23876,2021-09-30,Printer,Furniture,-2,979.78,-1959.6,Returns
5424,Alice,alice8@gmail.com,43357,2021-10-21,Monitor,Accessories,3,1474.31,4422.9,sales
2019,David,david9@gmail.com,35233,2021-07-09,Mouse,Furniture,1,556.66,556.7,sales
4667,Charlie,charlie10@gmail.com,39564,2023-11-13,Phone,Tech,-2,584.93,-1169.9,Returns
5891,Eva,eva12@gmail.com,26013,2022-07-12,Monitor,Tech,2,1312.65,2625.3,sales
5634,Alice,alice13@gmail.com,20015,2024-11-02,Laptop,Tech,7,754.29,5280,sales
2140,Eva,eva14@gmail.com,41048,2022-05-22,Tablet,Tech,-2,1133.8,-2267.6,Returns
2140,Bob,bob15@gmail.com,41048,2022-11-11,Keyboard,Tech,9,76.79,691.1,sales
5621,Charlie,charlie16@gmail.com,43982,2021-07-10,Headphones,Tech,7,213.23,1492.6,sales
3463,Charlie,charlie18@gmail.com,23486,2024-09-29,Headphones,Furniture,9,1100.73,9906.6,sales
2458,David,david20@gmail.com,45820,2023-06-07,Mouse,Tech,-3,419.77,-1259.3,Returns
2036,Eva,eva21@gmail.com,37471,2022-01-28,Phone,Tech,7,878.22,6147.5,sales
4553,Hannah,hannah22@gmail.com,41083,2021-05-18,Phone,Tech,0,676.72,0,"No Sales"
4553,Eva,eva23@gmail.com,41083,2024-11-25,Laptop,Accessories,8,982.48,7859.8,sales
1235,Fiona,fiona24@gmail.com,30194,2022-07-28,Printer,Tech,-3,1206.66,-3620,Returns
3930,Hannah,hannah25@gmail.com,33975,2021-12-18,Tablet,Furniture,-3,1180,-3540,Returns
5609,David,david26@gmail.com,23994,2021-12-01,Headphones,Accessories,7,1293.08,9051.6,sales
4584,Eva,eva28@gmail.com,38030,2024-12-12,Tablet,Tech,9,29.48,265.3,sales
5020,David,david30@gmail.com,28160,2021-03-28,Monitor,Furniture,1,486.4,486.4,sales
2786,Alice,alice31@gmail.com,25253,2022-01-23,Mouse,Tech,8,1286.95,10295.6,sales
5463,Fiona,fiona32@gmail.com,29577,2022-02-19,Phone,Tech,-1,200.69,-200.7,Returns
5075,Alice,alice33@gmail.com,45780,2023-03-06,Keyboard,Tech,-2,127.76,-255.5,Returns
4647,Eva,eva34@gmail.com,30873,2024-03-09,Laptop,Accessories,8,817.41,6539.3,sales
3771,Fiona,fiona35@gmail.com,25956,2023-07-18,Tablet,Furniture,-3,314.02,-942.1,Returns
